Tipp;Beschreibung
Jedes Grad zählt;Der Wohnbereich sollte nicht mehr als 20 Grad haben.<br>Jeder Grad weniger kann Heizenergie einsparen.
Räume nur nach Bedarf heizen;Tagsüber oder nachts sollte die Temperatur gesenkt werden.<br>Bei Abwesenheit für einige Stunden --> 18 Grad<br>Bei Abwesenheit für einige Tage --> 15 Grad
Thermostatventile bremsen "automatisch";Der Einsatz von programmierbareen Thermostaten kann etwa 10% Energie sparen.<br>Die Nutzung von Thermostatventilen kann bis zu  4-8% Heizenergie sparen.
Kippfenster sind "Dauerlüfter" und heizen buchstäblich zum Fenster hinaus;Es ist empfehlenswert über den Tag mehrmals einige Minuten kräftig zu lüften.<br>Das Stoßlüften funktioniert am besten mittels eines  Durchzuges. Währenddessen sollten Thermostatventile herunter gedreht werden.
"Heimliches" Dauerlüften vermeiden;Vermeidung undichter Fenster<br>Isolierung mit Dichtungsprofilen oder Lippenprofile
Nachts Rollläden, Fensterläden und Gardinen schließen;Höchste Wärmeverluste über Glas und Rahmen von Fenstern<br>Rollläden verringern Energieverluste um 20%
Wärmestau an Heizkörpern vermeiden;Freihalten von Einrichtungsgegenstände und Vorhängen<br>Wärmeabgabe in den Raum wird dadurch verhindert
Wärmebrücke "Heizkörpernische";An Heizkörpernischen sind die Hauswände äußerst dünn und sollten gedämmt werden<br>Tipp bei Platzmangel: Eine  5mm dicke, aluminium-kaschierte Styroporplatte ist eine kostengünstige Investition und stellt sich als sehr effektive Methode dar um an Heizenergie zu sparen.
Elektrische Zusatzheizungen nur im Notfall;Heizlüfter und Radiatoren sollten nur im Notfall benutzt werden
Heizungsanlagen regelmäßig durch Fachpersonal prüfen lassen - am besten zu Beginn der Heizperiode;Eine regelmäßige Prüfung kann die Effektivität und Wirtschaftlichkeit ihrer Anlage gewährleisten.<br>Wichtige Kriterien: korrekte Temperaturabsenkung in der Nacht, Wasserdruck im Heizsystem und Warmwassertemperatur, Vorlauftemperaturen von Heizsystemen, u.a.

